x,y
3.787355817990140094e-03,4.121499387535905445e-02
4.084423311697671366e-03,3.901841253956273708e-02
4.688519017697484470e-03,3.682274590300103900e-02
5.598718084366155479e-03,3.462848651299153813e-02
6.813917236698496804e-03,3.243617256262773529e-02
8.332836179885089178e-03,3.024638590418123746e-02
1.015401918214853261e-02,2.805974950190429085e-02
1.227583682886329575e-02,2.587692434750335849e-02
1.469648793856290214e-02,2.369860586650343257e-02
1.741400163013920310e-02,2.152551984842656155e-02
2.042623952938157905e-02,1.935841793811810332e-02
2.373089810200201821e-02,1.719807272963928824e-02
2.732551109946515511e-02,1.504527250786478684e-02
3.120745210329761710e-02,1.290081568624694766e-02
3.537393715309919417e-02,1.076550499210773837e-02
3.982202744322682619e-02,8.640141453266109162e-03
4.454863207307402373e-02,6.525518241782754525e-03
4.955051083602191042e-02,4.422414432088562358e-03
5.482427703249689865e-02,2.331588731741839754e-03
6.036640029312068112e-02,2.537732435263645447e-04
6.617320939868162610e-02,-1.810332682449927733e-03
7.224089508457343101e-02,-3.860068448565279892e-03
7.856551281843374146e-02,-5.894818004398127281e-03
8.514298554094332228e-02,-7.914015380927265364e-03
9.196910636111280124e-02,-9.917149910882685354e-03
9.903954119885621799e-02,-1.190377108446569188e-02
1.063498313692143871e-01,-1.387349299266468078e-02
1.138953961042197816e-01,-1.582599831382493216e-02
1.216715350100715520e-01,-1.776104180296131374e-02
1.296734304589753362e-01,-1.967845324749253194e-02
1.378961499166937166e-01,-2.157813985759402670e-02
1.463346482085021161e-01,-2.346008806416739409e-02
1.549837697278494408e-01,-2.532436470247034083e-02
1.638382505935398470e-01,-2.717111756469259287e-02
1.728927207626737572e-01,-2.900057531015663020e-02
1.821417061078852151e-01,-3.081304672731658562e-02
1.915796304685695728e-01,-3.260891934727641606e-02
2.012008176867972342e-01,-3.438865741409747462e-02
2.109994936394359588e-01,-3.615279922266733531e-02
2.209697882786526568e-01,-3.790195384030541764e-02
2.311057376934135266e-01,-3.963679723353668444e-02
2.414012862048567076e-01,-4.135806782652735880e-02
2.518502885084614173e-01,-4.306656152249634106e-02
2.624465118757851045e-01,-4.476312622395316188e-02
2.731836384281891017e-01,-4.644865589182388399e-02
2.840552674944269440e-01,-4.812408418737379456e-02
2.950549180632426327e-01,-4.979037774428613644e-02
3.061760313412212886e-01,-5.144852912127685640e-02
3.174119734250762104e-01,-5.309954948819408521e-02
3.287560380963533979e-01,-5.474446110063969223e-02
3.402014497452126029e-01,-5.638428961975021358e-02
3.517413664285178321e-01,-5.802005633486374131e-02
3.633688830659651536e-01,-5.965277034737917483e-02
3.750770347764189050e-01,-6.128342077417766459e-02
3.868588003550339494e-01,-6.291296902852537565e-02
3.987691553748744511e-01,-6.454911623492912143e-02
4.107756920547442347e-01,-6.617329752738489168e-02
4.228365202914866616e-01,-6.777864788795637252e-02
4.349441820207763376e-01,-6.936568318417277168e-02
4.470911861045900881e-01,-7.093490487337504591e-02
4.592700132844323990e-01,-7.248679473192817801e-02
4.714731211648536258e-01,-7.402180989507271824e-02
4.836929492176310630e-01,-7.554037824213113983e-02
4.959219237969714200e-01,-7.704289415802889618e-02
5.081524631561884497e-01,-7.852971469810934857e-02
5.203769824564945523e-01,-8.000115617906718157e-02
5.325878987588366087e-01,-8.145749121452820762e-02
5.447776359900819987e-01,-8.289894620941679060e-02
5.569386298753331577e-01,-8.432569932281118452e-02
5.690633328287002524e-01,-8.573787890454101501e-02
5.811442187954918293e-01,-8.713556240636899375e-02
5.931737880394764018e-01,-8.851877576426461780e-02
6.051445718696242260e-01,-8.988749324405995167e-02
6.170491373015432046e-01,-9.124163773871954430e-02
6.288800916496570803e-01,-9.258108150158810001e-02
6.406300870470398312e-01,-9.390564729634251484e-02
6.522918248907002559e-01,-9.521510994099725844e-02
6.638580602109823703e-01,-9.650919822022038796e-02
6.753216059646174330e-01,-9.778759713744558657e-02
6.866753372517949705e-01,-9.904995047582222656e-02
6.979121954584360799e-01,-1.002958636349651766e-01
7.090251923255894706e-01,-1.015249067087470591e-01
7.200074139485770353e-01,-1.027366177680420628e-01
7.308520247091332411e-01,-1.039305063113804828e-01
7.415522711443203185e-01,-1.051060568459120381e-01
7.521014857564665146e-01,-1.062627325609057788e-01
7.624930907687168524e-01,-1.073999790562230466e-01
7.727206018310597280e-01,-1.085172280887847507e-01
7.827776316818215729e-01,-1.096139013010002383e-01
7.926578937696854288e-01,-1.106894138964155117e-01
8.023552058411995702e-01,-1.117431782294535936e-01
8.118634934985741181e-01,-1.127746072780418662e-01
8.211767937322732580e-01,-1.137831179701173367e-01
8.302892584325114456e-01,-1.147681343374487017e-01
8.391951578832755887e-01,-1.157290904728852377e-01
8.478888842419048943e-01,-1.166654332699981200e-01
8.563649550065821625e-01,-1.175766249270943226e-01
8.646180164733469065e-01,-1.184621452007174058e-01
8.726428471834203338e-01,-1.193214933969722891e-01
8.804343613607564789e-01,-1.201541900922804551e-01
8.879876123388249498e-01,-1.209597785784599644e-01
8.952977959746765135e-01,-1.217378260302922205e-01
9.023602540473882883e-01,-1.224879243969459741e-01
9.091704776370117536e-01,-1.232096910217555102e-01
9.157241104791938868e-01,-1.239027689978496188e-01
9.220169522897181391e-01,-1.245668272699799045e-01
9.280449620523024690e-01,-1.252015604955671879e-01
9.338042612621731964e-01,-1.258066886804487805e-01
9.392911371171368540e-01,-1.263819566070439049e-01
9.445020456471846515e-01,-1.269271330746338244e-01
9.494336147730463304e-01,-1.274420099731674860e-01
9.540826472835881589e-01,-1.279264012134268824e-01
9.584461237215519125e-01,-1.283801415375166177e-01
